SK_ID_CURR,EXT_SOURCE_3,EXT_SOURCE_2,EXT_SOURCE_1,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY
248507,0.6195277080511546,0.4639937412367707,0.7481074660297807,-2594.0,112500.0,315000.0,15448.5
409734,0.7789040389824382,0.5557069295782121,,-339.0,135000.0,781920.0,47835.0
185050,0.7517237147741489,0.6965889207668875,,-2955.0,135000.0,270000.0,13500.0
236346,,0.6246124274311543,,-2129.0,157500.0,599778.0,32665.5
124980,0.5460231970049609,0.5744714200032379,,-1556.0,292500.0,2013840.0,53253.0
365838,0.4188542886233217,0.6917795484590799,0.5976909997859942,-682.0,292500.0,1113840.0,44302.5
439878,0.816092360478441,0.6587625118658121,0.6308349894389288,-790.0,54000.0,315000.0,15750.0
293940,0.7032033049040319,0.6905799655930477,,,202500.0,845014.5,46003.5
125345,,0.7288971856927592,0.1326110924755844,-1379.0,270000.0,1288350.0,37669.5
304509,0.3296550543128238,0.3545049051779446,,-1842.0,90000.0,135000.0,9148.5
293368,0.3774042489507649,0.6410526380947877,0.7469730735929642,-431.0,180000.0,191880.0,20358.0
159830,0.5602843280409464,0.6970001012643788,,-4624.0,103500.0,815733.0,29430.0
426729,,0.4825094901947679,0.5101182589794655,-684.0,67500.0,302206.5,15952.5
318326,0.6817058776720116,0.6981303733777722,0.6882085737157575,,270000.0,472500.0,20943.0
385064,0.6879328378491735,0.6360763203942716,0.2560873393281499,-754.0,121500.0,679500.0,36202.5
207679,0.5460231970049609,0.6427164650504279,0.3748512027580058,-3779.0,54000.0,135000.0,6750.0
440728,0.7062051096536562,0.5504530446451792,0.685217189180498,-540.0,211603.5,1147500.0,30267.0
356180,0.3539876078507373,0.2858978721410488,,-2088.0,270000.0,1255680.0,41499.0
271846,0.5442347412142162,0.7241047114271979,0.6781935954269026,,112500.0,254700.0,14350.5
130361,,0.5220956092012554,,,189000.0,1190385.0,37377.0
303460,,0.2316429048159856,,-7414.0,90000.0,219042.0,23373.0
442965,,0.7100027827391822,0.6699421812690729,-1399.0,360000.0,667422.0,46449.0
240066,0.5762088360175724,0.6526757529504905,0.7601909469487921,-2729.0,238500.0,1575000.0,39946.5
215328,0.5028782772082183,0.3421311817241793,,-4129.0,135000.0,360000.0,17316.0
446771,,0.6536120649384386,,-179.0,157500.0,157500.0,12316.5
236325,0.8327850252992314,0.4810026370063637,,-4335.0,180000.0,882000.0,29277.0
407836,0.6313545365850379,0.7033898749687097,0.8189778204807195,-1538.0,292500.0,2695500.0,74254.5
330906,0.6879328378491735,0.5461745490848172,0.5841853960737816,-1980.0,90000.0,250272.0,14103.0
249509,0.4920600938649263,0.0717613480764417,0.3826841236292262,-3687.0,360000.0,755190.0,36459.0
325841,,0.5342746833386239,,-1448.0,112500.0,247500.0,12375.0
167318,0.3457848024695955,0.67130985309531,0.3633413034690417,-296.0,67500.0,450000.0,22977.0
252514,0.3001077565791181,0.4580982326055676,0.4798110982385394,-876.0,112500.0,270000.0,10309.5
294640,0.4241303111942548,0.5721390921348428,0.2746970298956425,-756.0,202500.0,557770.5,35775.0
338655,0.6161216908872079,0.7905428624081242,,,157500.0,945000.0,30483.0
215837,0.4014074137749511,0.4688427335395,0.3614866740860849,-1694.0,117000.0,630000.0,32166.0
118984,,0.418198994383742,,-669.0,112500.0,270000.0,18040.5
322697,0.4382813743111921,0.6714787110648693,0.6997248355072329,-7450.0,103500.0,384048.0,14607.0
304691,,0.2875301924104401,,-1891.0,157500.0,408865.5,21006.0
250881,0.3016248916841194,0.7239867424949784,,-684.0,261000.0,550980.0,43659.0
254163,0.4507472818545589,0.4074179565217023,0.4891032174725424,-1185.0,112500.0,202500.0,16128.0
414971,0.524496446363472,0.6906780826372135,0.7196663229762601,-2397.0,157500.0,625536.0,22599.0
210912,0.6722428897082422,0.6477021813775548,,-1106.0,153000.0,225000.0,11250.0
132679,0.7180328113294772,0.5891760437442923,0.2358809705744893,-788.0,166500.0,1575000.0,43443.0
266260,0.445396241560834,0.6386237114731407,0.4374871232541472,-675.0,135000.0,270000.0,13500.0
341363,0.6127042441012546,0.6521054603437603,,-5240.0,202500.0,1305000.0,35887.5
187407,0.7958031328748403,0.7258487382633874,,,135000.0,225000.0,8482.5
101215,,0.6013664282562353,,-897.0,360000.0,1757466.0,48460.5
230377,0.4722533429586386,0.5968707035111868,,-624.0,103500.0,103500.0,11277.0
274472,0.0005272652387098,0.1000019052727834,,-1712.0,247500.0,720000.0,36000.0
348142,0.2067786544915716,0.4290373299008133,0.7803826710237168,-877.0,135000.0,417024.0,22621.5
376703,,0.2385437469887895,0.6265781314798347,-1132.0,225000.0,595903.5,23445.0
218112,0.5388627065779676,0.5478543011729815,,-2724.0,202500.0,254700.0,14751.0
195180,,0.4350900622258929,,,81000.0,284400.0,16456.5
124234,0.8256357449717892,0.6844634003510949,,,252000.0,2013840.0,53122.5
112614,0.3457848024695955,0.6284755261840672,,-2764.0,90000.0,91647.0,7222.5
338910,,0.7918073734081105,,-1583.0,225000.0,922716.0,48829.5
317720,0.7047064232963289,0.4777499222634693,,-2030.0,198000.0,172021.5,18657.0
291878,0.6430255641096323,0.1623110008632972,0.4285677371691629,-4098.0,112500.0,45000.0,4905.0
188745,0.3328505641648731,0.7127102594786819,0.7711001436317403,-449.0,135000.0,180000.0,9000.0
204363,0.3409064264152384,0.1303560482647275,,-3155.0,135000.0,270000.0,12024.0
332589,0.2405414172860865,0.2336886282171507,0.1882994290861857,-1277.0,315000.0,755190.0,36459.0
100283,0.8327850252992314,0.6535724567257833,,-870.0,135000.0,747000.0,38268.0
